target	avg_word_length	avg_sentence_length	lexical_diversity	percentage_punctuation	the	and	of	a	to	in	i	he	it	that	you	his	with	on	for	at	as	but	her	they	she	him	all	this	we	from	or	out	an	my	by	up	what	me	no	like	would	if	about	which	them	into	who	could	can	some	their	over	down	your	will	its	any	through	after	off	than	our	us	around	these	because	must	before	those	&	should	himself	both	against	may	might	shall	since	de	within	between	each	under	until	toward	another	myselfPRP$	VBG	VBD	VBN	POS	VBP	WDT	JJ	WP	VBZ	DT	RP	NN	FW	TO	PRP	RB	NNS	NNP	VB	WRB	CC	LS	PDT	RBS	RBR	CD	EX	IN	WP$	MD	NNPS	JJS	JJR	UH
hemingway	4.380638868568642	16.103403141361255	0.1572787125091441	0.028128768902495594	0.06209867511988946	0.028854750873770624	0.015362106803218726	0.018775908315045112	0.016093635698610095	0.012679834186783711	0.014305453954320084	0.016093635698610095	0.017394131512639195	0.010160123547102332	0.013980330000812809	0.003413801511826384	0.005120702267739576	0.0056896691863773064	0.0027635536048118345	0.00422661139559457	0.004795578314232301	0.004145330407217752	0.000731528895391368	0.008371941802812323	0.0006502479070145493	0.003576363488580021	0.0026822726164350157	0.0032512395350727465	0.004470454360725027	0.0027635536048118345	0.002926115581565472	0.003576363488580021	0.0008128098837681866	0.0022758676745509225	0.0015443387791595545	0.0031699585466959277	0.0026822726164350157	0.0011379338372754612	0.0017881817442900105	0.00243842965130456	0.0021945866861741038	0.0023571486629277412	0.001950743721043648	0.000731528895391368	0.0031699585466959277	0.001463057790782736	0.001706900755913192	0.0022758676745509225	0.0011379338372754612	0.001463057790782736	0.0016256197675363732	0.0013004958140290985	0.0013817768024059172	0.00243842965130456	0.001463057790782736	8.128098837681866e-05	0.0018694627326668292	0.0008940908721450052	0.0005689669186377306	0.000975371860521824	0.000975371860521824	0.000243842965130456	0.000243842965130456	0.000731528895391368	0.0005689669186377306	0.0008940908721450052	0.0005689669186377306	0.0010566528488986425	0.0005689669186377306	8.128098837681866e-05	0.0005689669186377306	0.00121921482565228	0.000487685930260912	0.0004064049418840933	8.128098837681866e-05	0.0004064049418840933	0	0.000487685930260912	0.0001625619767536373	0	0.000243842965130456	0.0005689669186377306	0.0003251239535072746	0.0006502479070145493	0.000487685930260912	0.000243842965130456	8.128098837681866e-05	0.011216776396000975	0.013167520117044623	0.06006665041046899	0.015768511745102822	0.006827603023652768	0.02267739575713241	0.003088677558319109	0.0448671055840039	0.0043891733723482075	0.010485247500609607	0.09737462407542875	0.005445826221246851	0.12785499471673575	0	0.016093635698610095	0.08493863285377551	0.04169714703730797	0.03275623831585792	0.05949768349183126	0.025440949361944243	0.0063399170933918555	0.03633260180443794	0	0.000487685930260912	0	0.0008940908721450052	0.00902218970982687	0.0037389254653336585	0.08989677314476144	0	0.009347313663334146	0.0008128098837681866	0.000487685930260912	0.00121921482565228	0
hemingway	4.355278813357659	14.831764705882353	0.15364480050765447	0.03168994845830222	0.05544538748314429	0.027841675259776315	0.015388276354406281	0.014991671293725709	0.016260807487903546	0.009994447529150472	0.01840247481557865	0.014674387245181249	0.012691361941778377	0.009359879432061553	0.015467597366542397	0.004521297691758547	0.004759260728166892	0.004283334655350203	0.004838581740303006	0.0046799397160307765	0.00555247084952804	0.005473149837391925	0.001665741254858412	0.0069802490679781075	0.002379630364083446	0.0030935194733084795	0.0026969144126279053	0.003807408582533513	0.005235186800983581	0.00293487744903625	0.00293487744903625	0.0021416673276751013	0.0017450622669945269	0.0030935194733084795	0.0009518521456333783	0.0012691361941778378	0.0034901245339890538	0.001983025303402871	0.001665741254858412	0.0015070992305861823	0.0024589513762195607	0.0020623463155389865	0.0015864202427222972	0.0015070992305861823	0.003410803521852939	0.0015864202427222972	0.0036487665582612835	0.0019037042912667566	0.001665741254858412	0.0013484572063139526	0.0014277782184500675	0.0015864202427222972	0.0007932101213611486	0.0020623463155389865	0.0024589513762195607	0.0007138891092250337	0.0017450622669945269	0.0007138891092250337	0.0006345680970889189	0.000555247084952804	0.0007932101213611486	0.001110494169905608	0.0008725311334972634	0.00023796303640834457	0.000555247084952804	0.000555247084952804	0.0007932101213611486	0.0008725311334972634	0.0006345680970889189	0	0.0012691361941778378	0.0006345680970889189	0.0007932101213611486	0.0003966050606805743	0.00015864202427222972	0.0003966050606805743	7.932101213611486e-05	0.000555247084952804	0.00015864202427222972	0.00015864202427222972	0.0003966050606805743	0.00031728404854445945	0.0007932101213611486	0.00023796303640834457	0	0.00047592607281668914	7.932101213611486e-05	0.01403981914809233	0.009359879432061553	0.0576663758229555	0.01879907987625922	0.007138891092250337	0.02593797096850956	0.0037280875703973983	0.04045371618941858	0.007456175140794797	0.013008645990322837	0.08852224954390418	0.0030141984611723647	0.11208059014833029	0	0.016260807487903546	0.08717379233759023	0.042991988577774254	0.02609661299278179	0.06916792258269215	0.02760371222336797	0.005155865788847466	0.03751883874038233	0	0.0003966050606805743	7.932101213611486e-05	0.0007138891092250337	0.006107717934480844	0.002855556436900135	0.08130403743951772	0	0.011501546759736653	0.00047592607281668914	0.0012691361941778378	0.0013484572063139526	0
hemingway	4.2300046955705115	11.733700642791552	0.1274064798873063	0.03222882092838245	0.04601659101580842	0.026843011425888245	0.011582407262482391	0.015104085146345281	0.014399749569572703	0.009782438566285804	0.025825637814994522	0.012599780873376116	0.016121458757239006	0.009704179057755518	0.02386915010173736	0.004304272969165753	0.004930349037408045	0.0021130067303177335	0.004069494443574895	0.004460791986226327	0.005634684614180623	0.006886836750665206	0.0025825637814994524	0.004930349037408045	0.004460791986226327	0.0035216778838628895	0.0022695257473783065	0.0025043042729691657	0.007043355767725779	0.0021130067303177335	0.0019564877132571606	0.0018782282047268744	0.0014869306620754422	0.0035216778838628895	0.0011738926279542964	0.0010173736108937236	0.0032086398497417437	0.005008608545938331	0.0014086711535451558	0.0026608232900297386	0.0035999373923931758	0.0022695257473783065	0.0033651588668023166	0.0004695570511817186	0.005243387071529191	0.0010173736108937236	0.0022695257473783065	0.0025043042729691657	0.0021912662388480202	0.0007043355767725779	0.0010956331194240101	0.0010173736108937236	0.0003130380341211457	0.0037564564094537487	0.0030521208326811707	7.825950853028643e-05	0.0010956331194240101	0.0006260760682422914	0.0005478165597120051	0.0004695570511817186	0.0005478165597120051	0.0008608545938331507	0.0009391141023634372	0.0003130380341211457	0	0.0007043355767725779	0.0007043355767725779	0.0006260760682422914	0.0003130380341211457	0	0.0019564877132571606	0.00015651901706057285	0.0004695570511817186	0.0006260760682422914	0.0002347785255908593	0.0003912975426514322	0	0.0003912975426514322	0	0	0	0.0005478165597120051	0	0.0002347785255908593	7.825950853028643e-05	0.0003130380341211457	0.00015651901706057285	0.015104085146345281	0.00853028642980122	0.04812959774612616	0.013695413992800125	0.006730317733604633	0.039129754265143216	0.0025043042729691657	0.03819064016277978	0.005556425105650337	0.0172953513851933	0.0749726091720144	0.002895601815620598	0.1003286899358272	0	0.014399749569572703	0.1112850211300673	0.0496165284082016	0.024025669118797933	0.06049460009391141	0.03255595554859916	0.006182501173892628	0.036312411958052904	0	0.00015651901706057285	0.00015651901706057285	0.0007825950853028644	0.0053999060885897635	0.0015651901706057287	0.07105963374550008	0.00015651901706057285	0.014869306620754422	0.00015651901706057285	0.001643449679136015	0.0011738926279542964	0
hemingway	4.248654970760234	11.90807799442897	0.13450292397660818	0.03323606599497146	0.04990253411306043	0.02510721247563353	0.013333333333333334	0.01317738791423002	0.016296296296296295	0.008966861598440545	0.02128654970760234	0.012241715399610137	0.019103313840155945	0.009434697855750487	0.02284600389863548	0.0036647173489278754	0.005614035087719298	0.003976608187134503	0.004990253411306043	0.0031189083820662767	0.005614035087719298	0.006471734892787524	0.0024951267056530215	0.005146198830409357	0.00405458089668616	0.0025730994152046785	0.0033528265107212476	0.0024951267056530215	0.006939571150097466	0.0031189083820662767	0.004132553606237817	0.00101364522417154	0.0011695906432748538	0.0026510721247563354	0.0010916179337231969	0.0014814814814814814	0.003976608187134503	0.004990253411306043	0.0016374269005847953	0.0014814814814814814	0.00202729044834308	0.0022612085769980507	0.0024951267056530215	0.0009356725146198831	0.0033528265107212476	0.0013255360623781677	0.0015594541910331384	0.002105263157894737	0.0026510721247563354	0.0013255360623781677	0.00101364522417154	0.00046783625730994154	0.0005458089668615984	0.0027290448343079924	0.0026510721247563354	7.797270955165692e-05	0.00101364522417154	0.0006237816764132554	0.00046783625730994154	0.00023391812865497077	0.0007797270955165692	0.0009356725146198831	0.0006237816764132554	0.0005458089668615984	0.0003898635477582846	0.0006237816764132554	0.00046783625730994154	0.0006237816764132554	0.0006237816764132554	0	0.0013255360623781677	0.0009356725146198831	0.0003118908382066277	0.00015594541910331385	0.00023391812865497077	0.0006237816764132554	0	0.0003118908382066277	0.00023391812865497077	7.797270955165692e-05	0	0.00046783625730994154	0.00101364522417154	0.0003898635477582846	0.00015594541910331385	0.00046783625730994154	0	0.012787524366471735	0.0095906432748538	0.05348927875243665	0.014502923976608188	0.00709551656920078	0.031968810916179334	0.0022612085769980507	0.03594541910331384	0.005536062378167642	0.01263157894736842	0.07961013645224171	0.002105263157894737	0.1026120857699805	0	0.016296296296296295	0.10549707602339181	0.051539961013645226	0.024405458089668618	0.0671345029239766	0.031968810916179334	0.005146198830409357	0.036647173489278755	0	0.00015594541910331385	7.797270955165692e-05	0.0010916179337231969	0.0050682261208577	0.0025730994152046785	0.07384015594541911	0.00015594541910331385	0.012709551656920079	0.00023391812865497077	0.0008576998050682261	0.0018713450292397662	0
hemingway	4.338621794871795	13.639344262295081	0.14543269230769232	0.030990285524323126	0.04855769230769231	0.029086538461538462	0.012419871794871794	0.012980769230769231	0.015705128205128205	0.010897435897435897	0.01875	0.012900641025641025	0.01674679487179487	0.010897435897435897	0.022275641025641026	0.003926282051282051	0.00625	0.003926282051282051	0.004887820512820513	0.004967948717948718	0.005128205128205128	0.00608974358974359	0.004647435897435897	0.006650641025641025	0.0054487179487179484	0.001842948717948718	0.0022435897435897434	0.002564102564102564	0.00608974358974359	0.002564102564102564	0.004407051282051282	0.001842948717948718	0.001842948717948718	0.003605769230769231	0.0015224358974358974	0.0022435897435897434	0.003205128205128205	0.003926282051282051	0.0016826923076923078	0.0017628205128205128	0.002564102564102564	0.002003205128205128	0.0027243589743589742	0.0008012820512820513	0.003605769230769231	0.0007211538461538462	0.0019230769230769232	0.0017628205128205128	0.003044871794871795	0.0010416666666666667	0.0022435897435897434	0.0007211538461538462	0.0009615384615384616	0.0019230769230769232	0.0022435897435897434	8.012820512820513e-05	0.0020833333333333333	0.0014423076923076924	0.00040064102564102563	0.0008814102564102564	0.0016025641025641025	0.000641025641025641	0.00040064102564102563	0.00016025641025641026	0.00040064102564102563	0.0010416666666666667	0.0009615384615384616	0.0003205128205128205	0.000641025641025641	0	0.001201923076923077	0.0004807692307692308	0.0003205128205128205	0.0005608974358974359	0.0005608974358974359	0.0008012820512820513	8.012820512820513e-05	0.0007211538461538462	0	0	0.00016025641025641026	0.0003205128205128205	0.0005608974358974359	0.00040064102564102563	0.0003205128205128205	0.00040064102564102563	0.0003205128205128205	0.015865384615384615	0.008253205128205128	0.05056089743589744	0.016666666666666666	0.0057692307692307696	0.03333333333333333	0.0027243589743589742	0.042227564102564105	0.005128205128205128	0.015224358974358974	0.07796474358974359	0.004166666666666667	0.1094551282051282	0	0.015705128205128205	0.10104166666666667	0.04943910256410256	0.03028846153846154	0.05096153846153846	0.03092948717948718	0.007131410256410256	0.04006410256410257	0	0.0003205128205128205	8.012820512820513e-05	0.0007211538461538462	0.005528846153846154	0.0034455128205128204	0.08165064102564103	8.012820512820513e-05	0.013461538461538462	0.0003205128205128205	0.0014423076923076924	0.0026442307692307694	0
hemingway	4.328087167070218	13.781979977753059	0.14414850686037126	0.02925874125874126	0.045036319612590796	0.02873284907183212	0.012187247780468119	0.013882163034705408	0.01638418079096045	0.011299435028248588	0.022033898305084745	0.008635996771589992	0.01646489104116223	0.009281678773204197	0.022276029055690073	0.002824858757062147	0.006133979015334947	0.005084745762711864	0.0037126715092816787	0.004519774011299435	0.005569007263922518	0.006053268765133172	0.0015334947538337368	0.007990314769975786	0.0022598870056497176	0.002421307506053269	0.004277643260694108	0.0036319612590799033	0.009765940274414851	0.002986279257465698	0.004277643260694108	0.0015334947538337368	0.001937046004842615	0.001937046004842615	0.0015334947538337368	0.0025020177562550443	0.002986279257465698	0.005488297013720743	0.0017756255044390637	0.0026634382566585956	0.00443906376109766	0.0035512510088781275	0.0026634382566585956	0.0012106537530266344	0.004277643260694108	0.0010492332526230832	0.002986279257465698	0.0029055690072639223	0.0035512510088781275	0.0020984665052461663	0.0012106537530266344	0.0011299435028248588	0.000645682001614205	0.001937046004842615	0.004681194511702986	0.00048426150121065375	0.0021791767554479417	0.0003228410008071025	0.0007263922518159806	0.0004035512510088781	0.001694915254237288	0.0010492332526230832	0.0014527845036319612	0.00048426150121065375	0.0008878127522195319	0.0011299435028248588	0.00024213075060532688	0.0007263922518159806	0.0004035512510088781	0	0.0008071025020177562	0.0003228410008071025	0.0004035512510088781	0.00048426150121065375	0.00016142050040355126	0.0008878127522195319	0	0.000645682001614205	0	8.071025020177563e-05	0.00016142050040355126	0.0003228410008071025	0.0004035512510088781	0.00048426150121065375	8.071025020177563e-05	0.0003228410008071025	0.00016142050040355126	0.010411622276029056	0.008151735270379339	0.047296206618240515	0.01420500403551251	0.0066182405165456015	0.03301049233252623	0.0036319612590799033	0.037691686844229216	0.005891848264729621	0.012267958030669894	0.0804681194511703	0.0035512510088781275	0.11138014527845036	0	0.01638418079096045	0.10468119451170299	0.04947538337368846	0.03066989507667474	0.05569007263922518	0.03987086359967716	0.006941081517352704	0.039628732849071834	0	0.00048426150121065375	0.0003228410008071025	0.0010492332526230832	0.008958837772397095	0.0027441485068603715	0.08159806295399516	0	0.01791767554479419	0.00048426150121065375	0.0012106537530266344	0.0021791767554479417	0
hemingway	4.267586094336544	12.365287588294652	0.13277297209074587	0.04340759154794913	0.06316304880039171	0.03639627876611719	0.010527174800065285	0.015341929165986616	0.017300473314835974	0.013628203035743431	0.02897013220173005	0.00718132854578097	0.015423535172188673	0.0068549045209727434	0.014933899134976334	0.0026929982046678637	0.007507752570589195	0.008487024645013873	0.0037538762852945976	0.005222784396931615	0.0021217561612534683	0.00416190631630488	0.0037538762852945976	0.004488330341113106	0.004977966378325445	0.001550514117839073	0.004406724334911049	0.0025297861922637505	0.0073445405581850825	0.002040150155051412	0.0014689081116370166	0.0030194222294760895	0.0014689081116370166	0.002937816223274033	0.0021217561612534683	0.003101028235678146	0.002284968173657581	0.0048147543659213315	0.0031826342418802022	0.002448180186061694	0.004651542353517219	0.001224090093030847	0.00138730210543496	0.0004896360372123388	0.0017137261302431859	0.0006528480496164518	0.0006528480496164518	0.002284968173657581	0.0006528480496164518	0.0010608780806267341	0.001550514117839073	0.0017137261302431859	0.0025297861922637505	0.0004896360372123388	0.0017137261302431859	0.00016321201240411296	0.001224090093030847	0.0008160600620205648	0.0009792720744246776	0.0009792720744246776	0.0004896360372123388	0.0004896360372123388	0.0011424840868287905	0.0006528480496164518	0.0002448180186061694	0.0005712420434143953	0.0005712420434143953	0.0004896360372123388	0.0002448180186061694	0	0.0009792720744246776	8.160600620205648e-05	8.160600620205648e-05	0.0006528480496164518	0.0002448180186061694	0.0004080300310102824	0	0.0002448180186061694	0	8.160600620205648e-05	0.0003264240248082259	0.0004080300310102824	0.0008976660682226212	0.0004080300310102824	0.0003264240248082259	0.0007344540558185083	0.0003264240248082259	0.01085359882487351	0.013791415048147543	0.0755671617431043	0.01966704749469561	0.0026113921984658073	0.019177411457483272	0.0017953321364452424	0.037865186877754205	0.002937816223274033	0.007507752570589195	0.09613187530602252	0.007018116533376856	0.13277297209074587	0	0.017300473314835974	0.09425493716337523	0.0466786355475763	0.03321364452423698	0.04847396768402154	0.029296556226538272	0.006446874489962461	0.04210869920026114	0	0.0006528480496164518	0	0.0006528480496164518	0.008487024645013873	0.004243512322506937	0.08364615635710788	0	0.011751264893096133	0.0017137261302431859	0.0022033621674555246	0.0011424840868287905	0
hemingway	4.201392261615671	10.3989898989899	0.12983649020560142	0.04932182490752158	0.05285737412983649	0.030030759268253198	0.012708434515136797	0.014165452485025093	0.014408288813339809	0.008580216933786628	0.03140683179536992	0.011170471102476931	0.016755706653715396	0.008175489719928769	0.01894123360854784	0.0025902541686903028	0.004775781123522746	0.006151853650639469	0.0032378177108628786	0.0033187631536344504	0.002752145054233447	0.0035615994819491663	0.0008903998704872916	0.008175489719928769	0.0011332361988020075	0.0029949813825481627	0.004937672009065889	0.002185526954832443	0.007366035292213048	0.0018617451837461552	0.0011332361988020075	0.0037234903674923103	0.0020236360692892992	0.004290108466893314	0.001699854298203011	0.003804435810263882	0.0029949813825481627	0.006232799093411041	0.0029140359397765905	0.0020236360692892992	0.0031568722680913063	0.002752145054233447	0.002104581512060871	0.0004047272138578598	0.003804435810263882	0.0016189088554314393	0.0014570179698882952	0.002104581512060871	0.0018617451837461552	0.002104581512060871	0.0014570179698882952	0.0020236360692892992	0.002752145054233447	0.002104581512060871	0.0029949813825481627	8.094544277157196e-05	0.0011332361988020075	0.0008903998704872916	0.0009713453132588635	0.001699854298203011	0.0007285089849441476	0.00048567265662943174	0.0011332361988020075	0.00048567265662943174	0.00024283632831471587	0.0006475635421725757	0.0008903998704872916	0.00048567265662943174	0.0004047272138578598	0	0.0007285089849441476	8.094544277157196e-05	0.0006475635421725757	0.0005666180994010038	8.094544277157196e-05	0	0	8.094544277157196e-05	8.094544277157196e-05	0	0.00016189088554314392	0.0004047272138578598	0.0007285089849441476	0.0004047272138578598	0.00016189088554314392	0.0009713453132588635	0.0004047272138578598	0.011413307430791646	0.010199125789218067	0.07163671685284119	0.01578436134045653	0.0020236360692892992	0.03229723166585721	0.0020236360692892992	0.03383519507851708	0.0044519993524364575	0.010441962117532783	0.08742107819329771	0.007770762506070908	0.12837947223571314	0	0.014408288813339809	0.11032863849765258	0.046948356807511735	0.029787922939938483	0.04678646592196859	0.028654686741136474	0.005989962765096325	0.03480654039177594	0	0.0004047272138578598	8.094544277157196e-05	0.0008903998704872916	0.00995628946090335	0.00453294479520803	0.0770600615185365	0.00016189088554314392	0.011898980087421079	0.0013760725271167234	0.001699854298203011	0.002185526954832443	0
hemingway	4.0594113513935515	10.40536149471974	0.11445077679756421	0.050829855568590494	0.04840346631274885	0.02966664064329768	0.009758763369505817	0.016238582246857678	0.01709735342337419	0.011164025294714653	0.032945585135451635	0.00921227262081349	0.012491217112967445	0.00741666016082442	0.022015770161605122	0.0020298227808572098	0.005777187914747443	0.007807010695604653	0.004293855882582559	0.0034350847060660473	0.001327191818252791	0.0039035053478023267	0.005152627059099071	0.0062456085564837225	0.009758763369505817	0.0022640331017253494	0.003669295026934187	0.001171051604340698	0.006167538449527676	0.00179561245998907	0.0012491217112967445	0.0047622765243188385	0.0017175423530330237	0.002654383636505582	0.002498243422593489	0.0027324537434616283	0.00382543524084628	0.007260519946912327	0.002810523850417675	0.0015614021391209306	0.003981575454758373	0.002185962994769303	0.001327191818252791	0.00031228042782418614	0.0024201733156374423	0.0010929814973846515	0.0020298227808572098	0.0024201733156374423	0.003044734171285815	0.0019517526739011633	0.0007807010695604653	0.0015614021391209306	0.001639472246076977	0.002498243422593489	0.003669295026934187	0	0.002342103208681396	0.0007026309626044188	0.0010929814973846515	0.0007026309626044188	0.0004684206417362792	0.0007026309626044188	0.0007026309626044188	0.0007026309626044188	0.0002342103208681396	0.0008587711765165118	0.0010149113904286049	0.0008587711765165118	0.0002342103208681396	0	0.0005464907486923258	0	7.807010695604653e-05	0.0002342103208681396	0.0002342103208681396	0.00031228042782418614	0	0	0	0	0.0002342103208681396	0.00015614021391209307	0.0008587711765165118	0.0004684206417362792	0.00015614021391209307	0.0007807010695604653	0.00015614021391209307	0.012491217112967445	0.008119291123428839	0.0664376610195956	0.015379811070341167	0.003981575454758373	0.030056991178077915	0.0015614021391209306	0.034350847060660473	0.0063236786634397685	0.01147630572253884	0.08275431337340933	0.006635959091263955	0.13365602310875166	0	0.01709735342337419	0.11343586540713561	0.0427824186119135	0.026934186899836052	0.04785697556405652	0.03364821609805605	0.0069482395190881415	0.03481926770239675	0	0.0005464907486923258	0	0.0005464907486923258	0.00718244983995628	0.002107892887813256	0.07346397064563978	0	0.015535951284253259	0.0012491217112967445	0.00039035053478023266	0.0012491217112967445	0
hemingway	4.064937058642923	11.059422750424448	0.11613447958243783	0.05036066316703803	0.04375191894381333	0.02540681608842493	0.00736874424316856	0.017193736567393307	0.021415412956708627	0.010822843107153823	0.032852318084126496	0.007982806263432606	0.013969910961007062	0.006063862450107461	0.020417562173779553	0.0020724593183911576	0.0040681608842493095	0.006370893460239484	0.004451949646914338	0.004758980657046362	0.0012281240405280934	0.006370893460239484	0.0019957015658581515	0.007906048510899601	0.005296284924777402	0.00276327909118821	0.005296284924777402	0.0009978507829290757	0.010669327602087811	0.0025330058335891925	0.0009978507829290757	0.003070310101320233	0.0015351550506601166	0.003300583358919251	0.0016119128031931225	0.003223825606386245	0.0016886705557261283	0.005142769419711391	0.003223825606386245	0.0012281240405280934	0.0025330058335891925	0.0026097635861221983	0.002225974823457169	7.675775253300584e-05	0.004144918636782315	0.0006140620202640467	0.0015351550506601166	0.00184218606079214	0.001918943813325146	0.002456248081056187	0.000460546515198035	0.0008443352778630641	0.0015351550506601166	0.0006140620202640467	0.0017654283082591342	0	0.001381639545594105	0.0006140620202640467	0.0009978507829290757	0.0007675775253300583	0.000460546515198035	0.0005373042677310408	0.0015351550506601166	0.0011513662879950874	0.00015351550506601167	0.0011513662879950874	0.0002302732575990175	0.0007675775253300583	0.0009978507829290757	0	0.000460546515198035	0.00030703101013202335	0.00038378876266502914	0.00030703101013202335	0	0.0002302732575990175	0	0	0	0	0.0002302732575990175	0.0005373042677310408	0.0007675775253300583	0.0006908197727970525	7.675775253300584e-05	0.000460546515198035	0.00030703101013202335	0.008136321768498619	0.013355848940743015	0.07253607614369051	0.016886705557261284	0.0052195271722443965	0.0315474362910654	0.0008443352778630641	0.030165796745471294	0.003223825606386245	0.008213079521031624	0.08067239791218914	0.005603315934909426	0.13309794289223212	0	0.021415412956708627	0.11467608228431071	0.04152594412035616	0.032315013816395455	0.04651519803500154	0.03170095179613141	0.006754682222904513	0.03277556033159349	0	0.0007675775253300583	0	0.0010746085354620817	0.01251151366287995	0.003070310101320233	0.06877494626957323	0	0.009134172551427695	0.001381639545594105	0.0006908197727970525	0.0011513662879950874	0
